                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2937,                 3.5769,                  1.161,                0.00279,                0.77967,                0.19099,                0.11441,                 1.2178,                 4.1094,                 1.1026,             0.00054574,             0.00054574,             0.00054574
                      2,                 1.1737,                 2.5916,                 1.1202,                0.46226,                0.59282,                0.44009,                0.29521,                 1.1839,                 2.7601,                 1.1071,             0.00099237,             0.00099237,             0.00099237
                      3,                 1.1708,                 2.1698,                 1.1376,                0.32125,                0.41771,                0.22386,                0.14932,                 1.3104,                 3.0232,                 1.2812,               0.001329,               0.001329,               0.001329
                      4,                 1.1556,                  1.899,                  1.128,                0.44656,                0.69456,                0.45189,                0.30639,                 1.1724,                  2.013,                 1.1295,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.0911,                 1.6442,                 1.0991,                0.43247,                0.87386,                0.47258,                 0.3081,                 1.1049,                 1.5954,                 1.0729,              0.0010069,              0.0010069,              0.0010069
                      6,                 1.0393,                 1.5045,                 1.0738,                 0.4319,                0.80847,                0.48351,                0.34775,                 1.0212,                 1.4971,                 1.0413,             0.00084184,             0.00084184,             0.00084184
                      7,                 1.0341,                 1.3898,                 1.0482,                0.47068,                 0.8081,                0.49147,                0.33849,                 1.0669,                 1.3883,                 1.0475,              0.0006768,              0.0006768,              0.0006768
                      8,                0.97914,                  1.296,                 1.0397,                0.46763,                0.86811,                0.50743,                0.37593,                0.94347,                 1.3009,                 0.9862,             0.00051177,             0.00051177,             0.00051177
                      9,                0.92656,                 1.2369,                 1.0152,                0.46636,                 0.8149,                0.50005,                0.36998,                0.95381,                 1.2587,                0.99506,             0.00034674,             0.00034674,             0.00034674
                     10,                0.90325,                 1.1938,                 1.0055,                0.47485,                0.82415,                0.49147,                0.37019,                0.92357,                 1.2619,                 0.9835,              0.0001817,              0.0001817,              0.0001817
